,0
0,copyright
1,©
2,2017
3,naomi
4,klein
5,published
6,2017
7,united
8,states
9,haymarket
10,books
11,simultaneously
12,canada
13,alfred
14,knopf
15,division
16,penguin
17,random
18,house
19,canada
20,limited
21,great
22,britain
23,allen
24,lane
25,division
26,random
27,house
28,group
29,limited
30,haymarket
31,books
32,po
33,box
34,180165
35,chicago
36,il
37,60618
38,wwwhaymarketbooksorg
39,rights
40,reserved
41,international
42,panamerican
43,copyright
44,conventions
45,part
46,book
47,may
48,reproduced
49,form
50,electronic
51,mechanical
52,means
53,including
54,information
55,storage
56,retrieval
57,systems
58,without
59,permission
60,writing
61,publisher
62,except
63,reviewer
64,may
65,quote
66,brief
67,passages
68,review
69,issued
70,print
71,electronic
72,formats
73,isbn
74,9781608468904
75,ebook
76,isbn
77,9781608468911
78,book
79,published
80,generous
81,support
82,lannan
83,foundation
84,wallace
85,action
86,fund
87,distributed
88,united
89,states
90,consortium
91,book
92,sales
93,distribution
94,wwwcbsdcom
95,book
96,design
97,cs
98,richardson
99,library
100,congress
101,cataloginginpublication
102,data
103,available
104,mother
105,bonnie
106,sherr
107,klein
108,teaches
109,shock
110,resilience
111,every
112,day
113,
114,i’m
115,looking
116,overthrow
117,american
118,government
119,corporate
120,state
121,already
122,
123,john
124,trudell
125,santee
126,dakota
127,activist
128,artist
129,poet
130,1946–2015
131,contents
132,cover
133,title
134,page
135,copyright
136,dedication
137,epigraph
138,introduction
139,part
140,
141,got
142,rise
143,superbrands
144,1
145,trump
146,becoming
147,ultimate
148,brand
149,2
150,first
151,family
152,brands
153,3
154,maralago
155,hunger
156,games
157,part
158,ii
159,
160,climate
161,inequality
162,4
163,climate
164,clock
165,strikes
166,midnight
167,5
168,grabberinchief
169,6
170,politics
171,hates
172,vacuum
173,7
174,learn
175,love
176,economic
177,populism
178,part
179,iii
180,
181,could
182,get
183,worse
184,shocks
185,come
186,8
187,masters
188,disaster
189,end
190,run
191,around
192,democracy
193,9
194,toxic
195,todo
196,list
197,expect
198,expecting
199,crisis
200,part
201,iv
202,
203,things
204,could
205,get
206,better
207,10
208,shock
209,doctrine
210,backfires
211,11
212,enough
213,12
214,lessons
215,standing
216,rock
217,daring
218,dream
219,13
220,time
221,leap
222,small
223,steps
224,won’t
225,cut
226,conclusion
227,caring
228,majority
229,within
230,reach
231,postscript
232,leap
233,manifesto
234,notes
235,acknowledgments
236,author
237,introduction
238,shock
239,
240,it’s
241,word
242,come
243,since
244,donald
245,trump
246,elected
247,november
248,2016to
249,describe
250,polldefying
251,election
252,results
253,describe
254,emotional
255,state
256,many
257,people
258,watching
259,ascent
260,power
261,describe
262,blitzkrieg
263,approach
264,policy
265,making
266,“shock
267,system”
268,fact
269,precisely
270,adviser
271,kellyanne
272,conway
273,repeatedly
274,described
275,new
276,era
277,almost
278,two
279,decades
280,i’ve
281,studying
282,largescale
283,shocks
284,societieshow
285,happen
286,exploited
287,politicians
288,corporations
289,even
290,deliberately
291,deepened
292,order
293,gain
294,advantage
295,disoriented
296,population
297,also
298,reported
299,flip
300,side
301,process
302,societies
303,come
304,together
305,around
306,understanding
307,shared
308,crisis
309,change
310,world
311,better
312,watching
313,donald
314,trump’s
315,rise
316,i’ve
317,strange
318,feeling
319,it’s
320,he’s
321,applying
322,shock
323,politics
324,powerful
325,heavily
326,armed
327,nation
328,earth
329,it’s
330,books
331,documentary
332,films
333,investigative
334,reporting
335,documented
336,range
337,trends
338,rise
339,superbrands
340,expanding
341,power
342,private
343,wealth
344,political
345,system
346,global
347,imposition
348,neoliberalism
349,often
350,using
351,racism
352,fear
353,“other”
354,potent
355,tool
356,damaging
357,impacts
358,corporate
359,free
360,trade
361,deep
362,hold
363,climate
364,change
365,denial
366,taken
367,right
368,side
369,political
370,spectrum
371,began
372,research
373,trump
374,started
375,seem
376,like
377,frankenstein’s
378,monster
379,sewn
380,together
381,body
382,parts
383,many
384,dangerous
385,trends
386,ten
387,years
388,ago
389,published
390,shock
391,doctrine
392,rise
393,disaster
394,capitalism
395,
396,investigation
397,spanned
398,four
399,decades
400,history
401,chile
402,augusto
403,pinochet’s
404,coup
405,russia
406,collapse
407,soviet
408,union
409,baghdad
410,us
411,“shock
412,awe”
413,attack
414,new
415,orleans
416,hurricane
417,katrina
418,term
419,“shock
420,doctrine”
421,describes
422,quite
423,brutal
424,tactic
425,systematically
426,using
427,public’s
428,disorientation
429,following
430,collective
431,shockwars
432,coups
433,terrorist
434,attacks
435,market
436,crashes
437,natural
438,disastersto
439,push
440,radical
441,procorporate
442,measures
443,often
444,called
445,“shock
446,therapy”
447,though
448,trump
449,breaks
450,mold
451,ways
452,shock
453,tactics
454,follow
455,script
456,one
457,familiar
458,countries
459,rapid
460,changes
461,imposed
462,cover
463,crisis
464,trump’s
465,first
466,week
467,office
468,signing
469,tsunami
470,executive
471,orders
472,people
473,reeling
474,madly
475,trying
476,keep
477,found
478,thinking
479,human
480,rights
481,advocate
482,halina
483,bortnowska’s
484,description
485,poland’s
486,experience
487,us
488,imposed
489,economic
490,shock
491,therapy
492,country
493,midst
494,communism’s
495,collapse
496,described
497,velocity
498,change
499,country
500,going
501,“the
502,difference
503,dog
504,years
505,human
506,years”
507,observed
508,“you
509,start
510,witnessing
511,semipsychotic
512,reactions
513,longer
514,expect
515,people
516,act
517,best
518,interests
519,they’re
520,disoriented
521,don’t
522,knowor
523,longer
524,carewhat
525,interests
526,are”
527,evidence
528,far
529,it’s
530,clear
531,trump
532,top
533,advisers
534,hoping
535,sort
536,response
537,bortnowska
538,described
539,trying
540,pull
541,domestic
542,shock
543,doctrine
544,goal
545,allout
546,war
547,public
548,sphere
549,public
550,interest
551,whether
552,form
553,antipollution
554,regulations
555,programs
556,hungry
557,place
558,unfettered
559,power
560,freedom
561,corporations
562,it’s
563,program
564,defiantly
565,unjust
566,manifestly
567,corrupt
568,pulled
569,assistance
570,divideandconquer
571,racial
572,sexual
573,politics
574,well
575,nonstop
576,spectacle
577,media
578,distractions
579,course
580,backed
581,massive
582,increase
583,war
584,spending
585,dramatic
586,escalation
587,military
588,conflicts
589,multiple
590,fronts
591,syria
592,north
593,korea
594,alongside
595,presidential
596,musings
597,“torture
598,works”
599,trump’s
600,cabinet
601,billionaires
602,multimillionaires
603,tells
604,us
605,great
606,deal
607,administration’s
608,underlying
609,goals
610,exxonmobil
611,secretary
612,state
613,general
614,dynamics
615,boeing
616,head
617,department
618,defense
619,goldman
620,sachs
621,guys
622,pretty
623,much
624,everything
625,that’s
626,left
627,handful
628,career
629,politicians
630,put
631,charge
632,agencies
633,seem
634,selected
635,either
636,believe
637,agency’s
638,core
639,mission
640,think
641,agency
642,exist
643,steve
644,bannon
645,trump’s
646,apparently
647,sidelined
648,chief
649,strategist
650,open
651,addressed
652,conservative
653,audience
654,february
655,2017
656,goal
657,said
658,“deconstruction
659,administrative
660,state”
661,meant
662,government
663,regulations
664,agencies
665,tasked
666,protecting
667,people
668,rights
669,“if
670,look
671,cabinet
672,nominees
673,selected
674,reason
675,deconstruction”
676,much
677,made
678,conflict
679,bannon’s
680,christian
681,nationalism
682,transnationalism
683,trump’s
684,establishment
685,aides
686,particularly
687,soninlaw
688,jared
689,kushner
690,bannon
691,may
692,well
693,get
694,voted
695,gory
696,reality
697,show
698,entirely
699,long
700,perhaps
701,time
702,read
703,words
704,it’s
705,worth
706,underlining
707,comes
708,deconstructing
709,state
710,outsourcing
711,much
712,possible
713,forprofit
714,corporations
715,bannon
716,kushner
717,conflict
718,perfect
719,alignment
720,unfolding
721,struck
722,what’s
723,happening
724,washington
725,usual
726,passing
727,baton
728,parties
729,it’s
730,naked
731,corporate
732,takeover
733,one
734,many
735,decades
736,making
737,seems
738,economic
739,interests
740,long
741,since
742,paid
743,major
744,parties
745,bidding
746,decided
747,they’re
748,tired
749,playing
750,game
751,apparently
752,wining
753,dining
754,elected
755,officials
756,cajoling
757,legalized
758,bribery
759,insulted
760,sense
761,divine
762,entitlement
763,they’re
764,cutting
765,middlementhose
766,needy
767,politicians
768,supposed
769,protect
770,public
771,interestand
772,top
773,dogs
774,want
775,something
776,done
777,right
778,serious
779,questions
780,conflicts
781,interest
782,breaches
783,ethics
784,barely
785,receive
786,response
787,trump
788,stonewalled
789,releasing
790,tax
791,returns
792,completely
793,refused
794,sell
795,stop
796,benefiting
797,business
798,empire
799,decision
800,given
801,trump
802,organization’s
803,reliance
804,foreign
805,governments
806,grant
807,valuable
808,trademark
809,licenses
810,permits
811,may
812,fact
813,contravene
814,united
815,states
816,constitution’s
817,prohibition
818,presidents
819,receiving
820,gifts
821,“emolument”
822,foreign
823,governments
824,indeed
825,lawsuit
826,making
827,allegation
828,already
829,launched
830,trumps
831,seem
832,unconcerned
833,nearimpenetrable
834,sense
835,impunityof
836,usual
837,rules
838,lawsis
839,defining
840,feature
841,administration
842,anyone
843,presents
844,threat
845,impunity
846,summarily
847,firedjust
848,ask
849,former
850,fbi
851,director
852,james
853,comey
854,us
855,politics
856,there’s
857,mask
858,corporate
859,state’s
860,white
861,house
862,proxies
863,smiling
864,actor’s
865,face
866,ronald
867,reagan
868,faux
869,cowboy
870,persona
871,george
872,w
873,bush
874,dick
875,cheneyhalliburton
876,scowling
877,background
878,mask
879,gone
880,one
881,even
882,bothering
883,pretend
884,otherwise
885,situation
886,made
887,squalid
888,fact
889,trump
890,never
891,head
892,traditional
893,company
894,rather
895,long
896,figurehead
897,empire
898,built
899,around
900,personal
901,branda
902,brand
903,along
904,daughter
905,ivanka’s
906,brand
907,already
908,benefited
909,merger
910,us
911,presidency
912,countless
913,ways
914,trump
915,family’s
916,business
917,model
918,part
919,broader
920,shift
921,corporate
922,structure
923,taken
924,place
925,within
926,many
927,brandbased
928,multinationals
929,one
930,transformative
931,impacts
932,culture
933,job
934,market
935,trends
936,wrote
937,first
938,book
939,logo
940,taking
941,aim
942,brand
943,bullies
944,
945,model
946,tells
947,us
948,idea
949,could
950,beor
951,beany
952,distinction
953,trump
954,brand
955,trump
956,presidency
957,concept
958,current
959,occupant
960,white
961,house
962,cannot
963,begin
964,comprehend
965,presidency
966,fact
967,crowning
968,extension
969,trump
970,brand
971,
972,explored
973,trump’s
974,inextricable
975,relationship
976,commercial
977,brand
978,implications
979,future
980,politics
981,began
982,see
983,many
984,attacks
985,failed
986,stickand
987,identify
988,ways
989,resisting
990,effective
991,fact
992,defiant
993,levels
994,profiteering
995,public
996,office
997,unfold
998,full
999,view
1000,disturbing
1001,enough
1002,many
1003,trump’s
1004,actions
1005,first
1006,months
1007,office
1008,history
1009,shows
1010,us
1011,however
1012,destabilized
1013,things
1014,shock
1015,doctrine
1016,means
1017,could
1018,get
1019,lot
1020,worse
1021,main
1022,pillars
1023,trump’s
1024,political
1025,economic
1026,project
1027,deconstruction
1028,regulatory
1029,state
1030,fullbore
1031,attack
1032,welfare
1033,state
1034,social
1035,services
1036,rationalized
1037,part
1038,bellicose
1039,racial
1040,fearmongering
1041,attacks
1042,women
1043,exercising
1044,rights
1045,unleashing
1046,domestic
1047,fossil
1048,fuel
1049,frenzy
1050,requires
1051,sweeping
1052,aside
1053,climate
1054,science
1055,gagging
1056,large
1057,parts
1058,government
1059,bureaucracy
1060,civilizational
1061,war
1062,immigrants
1063,“radical
1064,islamic
1065,terrorism”
1066,everexpanding
1067,domestic
1068,foreign
1069,theaters
1070,addition
1071,obvious
1072,threats
1073,entire
1074,project
1075,poses
1076,already
1077,vulnerable
1078,it’s
1079,also
1080,vision
1081,counted
1082,generate
1083,wave
1084,wave
1085,crises
1086,shocks
1087,economic
1088,shocks
1089,market
1090,bubblesinflated
1091,thanks
1092,deregulationburst
1093,security
1094,shocks
1095,blowback
1096,antiislamic
1097,policies
1098,foreign
1099,aggression
1100,comes
1101,home
1102,weather
1103,shocks
1104,climate
1105,destabilized
1106,industrial
1107,shocks
1108,oil
1109,pipelines
1110,spill
