,0
0,bronze
1,age
2,mindset
3,exhortation
4,bronze
5,age
6,pervert
7,book
8,dedicated
9,memory
10,dean
11,dejana
12,spiritual
13,brother
14,sardinian
15,giant
16,high
17,vision
18,man
19,superhuman
20,physical
21,strength
22,strong
23,world
24,friend
25,reborn
26,better
27,timewe
28,meet
29,fight
30,together
31,cover
32,illustration
33,owen
34,cyclops
35,westernidentity
36,victory
37,gods
38,prologue
39,book
40,philosophy
41,exhortation
42,hardly
43,anything
44,say
45,aren’t
46,like
47,still
48,less
49,care
50,convincing
51,account
52,reveries
53,tried
54,put
55,brief
56,simple
57,could
58,thought
59,motivates
60,problem
61,faced
62,life
63,ascent
64,decline
65,convinced
66,write
67,book
68,certain
69,frogs
70,told
71,“is
72,shame
73,hucksters
74,multiplying
75,lies
76,jizzing
77,filthy
78,doctrines
79,receptive
80,minds
81,everywhere
82,perversions
83,lame
84,onesare
85,born
86,thousands
87,haunt
88,like
89,myriad
90,cripplette
91,midgets
92,halls
93,mirrors
94,haunt
95,world
96,books
97,internet
98,minds
99,lost
100,wait
101,longer
102,everything
103,pounded
104,garbage
105,nothing
106,leftit
107,turn
108,whole
109,world
110,turn
111,bulgarian
112,rest
113,stop
114,lavatory
115,seen
116,movie
117,midnight
118,express
119,andand
120,make
121,feel”
122,roused
123,slumber
124,frog
125,friends
126,declare
127,great
128,boldness
129,save
130,great
131,ugliness
132,look
133,around
134,eyes
135,people
136,see
137,kind
138,demented
139,energy
140,it’s
141,pure
142,anger
143,lust
144,power
145,nothing
146,hate
147,dirty
148,pages
149,mention
150,names
151,nobodies
152,time
153,see
154,photo
155,hillary
156,clintong
157,adam
158,schiff
159,eyes
160,bugged
161,stims
162,antidepressants
163,knows
164,know
165,mean
166,crease
167,around
168,eye
169,tells
170,looks
171,like
172,cyborg
173,gone
174,offscript
175,people
176,inhuman
177,gaze
178,vehicles
179,something
180,else
181,see
182,also
183,chiefs
184,eu
185,bureaucracy
186,tiny
187,moleman
188,eyes
189,behind
190,small
191,glasses
192,tiny
193,lenses
194,reflect
195,light
196,see
197,dead
198,robot
199,eyes
200,new
201,hueman
202,automatons
203,running
204,government
205,departments
206,dmv
207,brutal
208,zombies
209,running
210,security
211,airports
212,hospital
213,“health
214,care”
215,rooms
216,vicious
217,yellow
218,fluorescent
219,lights
220,wanted
221,expose
222,grim
223,shadow
224,movement
225,hidden
226,behind
227,events
228,time
229,great
230,power
231,acts
232,like
233,ghost
234,hides
235,darkness
236,absorbed
237,lands
238,peoples
239,can’t
240,really
241,see
242,anymore
243,eldritch
244,quality
245,embedded
246,things
247,faces
248,said
249,hades
250,said
251,would
252,feel
253,great
254,shame
255,god
256,drew
257,back
258,veil
259,underworld
260,vile
261,things
262,could
263,seen
264,hades
265,time
266,capable
267,shame
268,heard
269,also
270,things
271,sea
272,disgusting
273,frightful
274,things
275,revealed
276,sea
277,recedes
278,great
279,storm
280,draw
281,back
282,curtain
283,iron
284,prison
285,show
286,really
287,live
288,secret
289,things
290,show
291,dreams
292,heraclitus
293,say
294,“all
295,things
296,see
297,awake
298,death
299,things
300,see
301,asleep
302,sleep”
303,trying
304,coy
305,day
306,many
307,gods
308,clovefooted
309,satyr
310,things
311,showed
312,men
313,dreams
314,spiritually
315,insides
316,wet
317,there’s
318,huge
319,hole
320,monstrous
321,powers
322,fucking
323,brain
324,letting
325,loose
326,life
327,power
328,focus
329,don’t
330,see
331,really
332,maybe
333,nightmare
334,show
335,show
336,way
337,empedocles
338,philosopher
339,man
340,high
341,vision
342,jumped
343,volcano
344,aetna
345,sicily
346,knew
347,would
348,reborn
349,god
350,imagine
351,front
352,rim
353,aetna
354,it’s
355,dry
356,sandy
357,feel
358,heat
359,like
360,thought
361,might
362,romantic
363,hot
364,dry
365,can’t
366,breathe
367,smell
368,infernal
369,sulfur
370,wet
371,earth
372,even
373,worse
374,things
375,triggers
376,old
377,memory
378,instinct
379,run
380,you’re
381,brought
382,face
383,vehemence
384,brutality
385,rock
386,start
387,feel
388,dizzy
389,staring
390,molten
391,rock
392,nostrils
393,it’s
394,scares
395,great
396,fear
397,could
398,spur
399,action
400,fills
401,nostrils
402,banality
403,dullness
404,plain
405,molten
406,dust
407,see
408,gray
409,black
410,reminds
411,torrid
412,summer
413,afternoon
414,abandoned
415,gas
416,station
417,stranded
418,dirt
419,road
420,choked
421,heat
422,much
423,dust
424,see
425,flames
426,hole
427,lacks
428,romance
429,fire
430,imagined
431,seems
432,like
433,nothing
434,eye
435,it’s
436,nothing
437,pull
438,away
439,you’re
440,reborn
441,god
442,remain
443,mule
444,lying
445,mind
446,comes
447,many
448,thoughts
449,it’s
450,right
451,pull
452,back
453,course
454,there’s
455,nice
456,meal
457,glass
458,wine
459,maybe
460,there’s
461,girl
462,waiting
463,pussy
464,warm
465,inviting
466,empedocles
467,deluded
468,don’t
469,jump
470,aetna
471,mauna
472,loa
473,puyehue
474,eyjafjallajökull
475,titans
476,world
477,even
478,get
479,won’t
480,work
481,portals
482,closed
483,ages
484,doors
485,closed
486,mount
487,aetna
488,empedoclesis
489,something
490,like
491,something
492,like
493,anymore
494,life
495,thing
496,inside
497,reaches
498,beyond
499,intergalactic
500,worm
501,can’t
502,say
503,must
504,wait
505,don’t
506,reach
507,beyond
508,dead
509,mankind
510,walking
511,dead
512,tell
513,story
514,stone
515,age
516,man
517,appears
518,strong
519,shoulders
520,club
521,hand
522,believed
523,people
524,son
525,godof
526,mortal
527,woman
528,cucked
529,husband
530,god
531,child
532,already
533,displays
534,superhuman
535,strength
536,grows
537,goes
538,deepest
539,wild
540,fight
541,great
542,cave
543,lion
544,emerges
545,cave
546,skin
547,lion
548,back
549,lion
550,eating
551,working
552,terror
553,people
554,wears
555,terror
556,shoulders
557,carries
558,lion
559,mane
560,head
561,lion
562,pelt
563,back
564,great
565,club
566,hand
567,man
568,comes
569,worshiped
570,people
571,progeny
572,become
573,lines
574,kings
575,sparta
576,many
577,places
578,act
579,foundation
580,slaughtered
581,monsters
582,made
583,seaways
584,known
585,man
586,tamed
587,rock
588,face
589,don’t
590,forget
591,lionskin
592,shoulders
593,lion
594,nemea
595,understand
596,nemesis
597,nature
598,great
599,purgative
600,function
601,know
602,monkeys
603,switch
604,sex
605,certain
606,times
607,lake
608,reptiles
609,overpopulate
610,surplus
611,refuse
612,trigger
613,nature
614,monster
615,born
616,lizard
617,many
618,times
619,size
620,normal
621,one
622,born
623,deals
624,destruction
625,culls
626,lake
627,greeks
628,believed
629,great
630,power
631,worshiped
632,justice
633,bible
634,appears
635,allegory
636,flood
637,fact
638,refers
639,irrepressible
640,spirit
641,sea
642,peoples
643,divine
644,justice
645,brought
646,cities
647,whose
648,life
649,grown
650,pointless
651,great
652,ugliness
653,world
654,bring
655,lion
656,cub
657,house
658,aeschylus
659,say
660,become
661,priest
662,doom
663,reaches
664,age
665,nature
666,irrepressible
667,force
668,violence
669,surfeit
670,populations
671,divine
672,justice
673,destruction
674,feeble
675,designs
676,reason
677,pointless
678,words
679,manthis
680,beautiful
681,power
682,nemesis
683,means
684,chosen
685,wield
686,fewer
687,realize
688,chosen
689,know
690,hercules
691,puts
692,power
693,nemesis
694,shoulders
695,becomes
696,hero
697,makes
698,world
699,tame
700,safe
701,cities
702,real
703,men
704,time
705,age
706,surfeit
707,different
708,function
709,star
710,nemesis
711,sure
712,return
713,must
714,already
715,burning
716,inside
717,bronze
718,age
719,men
720,life
721,force
722,already
723,see
724,far
725,horizon
726,world
727,glimmer
728,surely
729,theremay
730,mirage
731,see
732,spirit
733,returning
734,surely
735,time
736,piratical
737,bands
738,brotherhoods
739,take
740,seas
741,seas
742,enemies
743,western
744,man
745,enemies
746,beauty
747,learn
